"","CLIENT.CODE","DISTRICT","CLIENT.TYPE","YEAR","MONTH","MARGIN"
"8351",6072,"MANYANGA","MINI SHOPS",20,2,351.2144
"8352",5145,"MANYANGA","MINI SUPERMAKETS",20,2,175.6072
"8353",5556,"MANYANGA","MINI SUPERMAKETS",20,2,219.705
"8354",5556,"MANYANGA","MINI SUPERMAKETS",20,2,351.2144
"8355",6072,"MANYANGA","MINI SHOPS",20,2,-1708.1556
"8356",5110,"KASARANI","SUPERMAKETS",20,2,8000.3658
"8357",5110,"KASARANI","SUPERMAKETS",20,2,1792.2905
"8358",5110,"KASARANI","SUPERMAKETS",20,2,3126.378
"8359",6041,"NAIROBI","SUPERMAKETS",20,2,3126.378
"8360",1192,"MTITO ANDEI","SUPERMAKETS",20,2,0
"8361",2024,"VOI","SUPERMAKETS",20,2,700.9944
"8362",4759,"MANYANGA","SUPERMAKETS",20,2,0
"8363",5110,"KASARANI","SUPERMAKETS",20,2,841.9576
"8364",1192,"MTITO ANDEI","SUPERMAKETS",20,2,4168.504
"8365",5110,"KASARANI","SUPERMAKETS",20,2,1645.678
"8366",4759,"MANYANGA","SUPERMAKETS",20,2,403.98
"8367",4759,"MANYANGA","SUPERMAKETS",20,2,307.6328
"8368",4957,"MAUA","SUPERMAKETS",20,2,197.5048
"8369",4957,"MAUA","SUPERMAKETS",20,2,153.8164
"8370",5142,"MTITO ANDEI","MINI SHOPS",20,2,6024.965
"8371",6041,"NAIROBI","SUPERMAKETS",20,2,296.2572
"8372",6041,"NAIROBI","SUPERMAKETS",20,2,807.96
"8373",1192,"MTITO ANDEI","SUPERMAKETS",20,2,4853.103
"8374",5145,"MANYANGA","MINI SUPERMAKETS",20,2,769.082
"8375",6036,"VOI","MINI SUPERMAKETS",20,2,807.96
"8376",1192,"MTITO ANDEI","SUPERMAKETS",20,2,2714.296
"8377",1192,"MTITO ANDEI","SUPERMAKETS",20,2,8750.192
"8378",1192,"MTITO ANDEI","SUPERMAKETS",20,2,10767.148
"8379",4988,"MTITO ANDEI","SUPERMAKETS",20,2,3076.328
"8380",5040,"MANYANGA-MAUA","SUPERMAKETS",20,2,769.082
"8381",7282,"MOMBASA","SUPERMAKETS",20,2,403.98
"8382",7282,"MOMBASA","SUPERMAKETS",20,2,461.4492
"8383",8779,"MANYANGA","WHOLE SALE",20,2,197.5048
"8384",8779,"MANYANGA","WHOLE SALE",20,2,120.4993
"8385",8779,"MANYANGA","WHOLE SALE",20,2,461.4492
"8386",5110,"KASARANI","SUPERMAKETS",20,2,3118.324
"8387",5110,"KASARANI","SUPERMAKETS",20,2,1051.642
"8388",1192,"MTITO ANDEI","SUPERMAKETS",20,2,975.689
"8389",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1204.993
"8390",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,602.4965
"8391",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,403.98
"8392",6040,"NAIROBI","MINI SUPERMAKETS",20,2,722.9958
"8393",9778,"NAIROBI","MINI SUPERMAKETS",20,2,295.415
"8394",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1008.514
"8395",4120,"MACHAKOS","SUPERMAKETS",20,2,1920.822
"8396",4759,"MANYANGA","SUPERMAKETS",20,2,471.1702
"8397",5110,"KASARANI","SUPERMAKETS",20,2,4802.055
"8398",1192,"MTITO ANDEI","SUPERMAKETS",20,2,2103.284
"8399",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,42
"8400",3045,"KILIMANJARO","MINI SHOPS",20,2,600
"8401",5142,"MTITO ANDEI","MINI SHOPS",20,2,1800
"8402",5142,"MTITO ANDEI","MINI SHOPS",20,2,-5000
"8403",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,600
"8404",6041,"NAIROBI","SUPERMAKETS",20,2,800
"8405",6041,"NAIROBI","SUPERMAKETS",20,2,10000
"8406",7142,"KASARANI","SHOPS",20,2,600
"8407",7142,"KASARANI","SHOPS",20,2,-10000
"8408",101,"VOI","SUPERMAKETS",20,2,2000
"8409",3045,"KILIMANJARO","MINI SHOPS",20,2,200
"8410",3045,"KILIMANJARO","MINI SHOPS",20,2,0
"8411",4120,"MACHAKOS","SUPERMAKETS",20,2,200
"8412",4974,"MURANGA","MINI SUPERMAKETS",20,2,200
"8413",5040,"MANYANGA-MAUA","SUPERMAKETS",20,2,200
"8414",7282,"MOMBASA","SUPERMAKETS",20,2,400
"8415",7282,"MOMBASA","SUPERMAKETS",20,2,0
"8416",8161,"MANYANGA-MAUA","SHOPS",20,2,400
"8417",8163,"KILIMANJARO","MINI SUPERMAKETS",20,2,200
"8418",9979,"MANYANGA","MINI SUPERMAKETS",20,2,200
"8419",101,"VOI","SUPERMAKETS",20,2,200
"8420",101,"VOI","SUPERMAKETS",20,2,0
"8421",2024,"VOI","SUPERMAKETS",20,2,200
"8422",4120,"MACHAKOS","SUPERMAKETS",20,2,620
"8423",4650,"ISIOLO","SHOPS",20,2,1200
"8424",4650,"ISIOLO","SHOPS",20,2,0
"8425",4650,"ISIOLO","SHOPS",20,2,0
"8426",4759,"MANYANGA","SUPERMAKETS",20,2,600
"8427",4957,"MAUA","SUPERMAKETS",20,2,1000
"8428",4988,"MTITO ANDEI","SUPERMAKETS",20,2,400
"8429",7335,"VOI","MINI SUPERMAKETS",20,2,400
"8430",5160,"VOI","MINI SHOPS",20,2,200
"8431",6040,"NAIROBI","MINI SUPERMAKETS",20,2,400
"8432",6072,"MANYANGA","MINI SHOPS",20,2,5000
"8433",6990,"MANYANGA","MINI SUPERMAKETS",20,2,5000
"8434",8795,"NAIROBI","MINI SUPERMAKETS",20,2,200
"8435",9778,"NAIROBI","MINI SUPERMAKETS",20,2,400
"8436",101,"VOI","SUPERMAKETS",20,2,-10000
"8437",1521,"VOI","MINI SHOPS",20,2,-5000
"8438",3888,"MANYANGA","SHOPS",20,2,600
"8439",3888,"MANYANGA","SHOPS",20,2,-10000
"8440",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,600
"8441",4957,"MAUA","SUPERMAKETS",20,2,-5000
"8442",5145,"MANYANGA","MINI SUPERMAKETS",20,2,1200
"8443",5145,"MANYANGA","MINI SUPERMAKETS",20,2,5000
"8444",5556,"MANYANGA","MINI SUPERMAKETS",20,2,600
"8445",5556,"MANYANGA","MINI SUPERMAKETS",20,2,5000
"8446",5648,"MTITO ANDEI","SHOPS",20,2,600
"8447",5893,"MANYANGA","SHOPS",20,2,400
"8448",8779,"MANYANGA","WHOLE SALE",20,2,400
"8449",8792,"KITUI","SHOPS",20,2,5000
"8450",1514,"VOI","SHOPS",20,2,200
"8451",1514,"VOI","SHOPS",20,2,0
"8452",5648,"MTITO ANDEI","SHOPS",20,2,-3635.2
"8453",6036,"VOI","MINI SUPERMAKETS",20,2,200
"8454",7142,"KASARANI","SHOPS",20,2,400
"8455",7142,"KASARANI","SHOPS",20,2,0
"8456",8029,"MTITO ANDEI","SHOPS",20,2,200
"8457",8029,"MTITO ANDEI","SHOPS",20,2,5000
"8458",4759,"MANYANGA","SUPERMAKETS",20,2,400
"8459",5648,"MTITO ANDEI","SHOPS",20,2,0
"8460",6072,"MANYANGA","MINI SHOPS",20,2,400
"8461",6072,"MANYANGA","MINI SHOPS",20,2,-5000
"8462",6990,"MANYANGA","MINI SUPERMAKETS",20,2,200
"8463",7931,"MTITO ANDEI","SHOPS",20,2,200
"8464",8825,"MANYANGA","SUPERMAKETS",20,2,200
"8465",5134,"MURANGA","SUPERMAKETS",20,2,5000
"8466",7924,"KERUGOYA","MINI SHOPS",20,2,200
"8467",8795,"NAIROBI","MINI SUPERMAKETS",20,2,-1782.838
"8468",4957,"MAUA","SUPERMAKETS",20,2,388.7162
"8469",5142,"MTITO ANDEI","MINI SHOPS",20,2,19413.069
"8470",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1294.2046
"8471",1192,"MTITO ANDEI","SUPERMAKETS",20,2,25884.092
"8472",3045,"KILIMANJARO","MINI SHOPS",20,2,2921.154
"8473",6072,"MANYANGA","MINI SHOPS",20,2,730.2885
"8474",5142,"MTITO ANDEI","MINI SHOPS",20,2,9286.414
"8475",5145,"MANYANGA","MINI SUPERMAKETS",20,2,2588.4092
"8476",5145,"MANYANGA","MINI SUPERMAKETS",20,2,58989.5835
"8477",4759,"MANYANGA","SUPERMAKETS",20,2,2588.4092
"8478",8779,"MANYANGA","WHOLE SALE",20,2,70.585
"8479",8779,"MANYANGA","WHOLE SALE",20,2,279.9324
"8480",8779,"MANYANGA","WHOLE SALE",20,2,251.336
"8481",5145,"MANYANGA","MINI SUPERMAKETS",20,2,5791.728
"8482",6072,"MANYANGA","MINI SHOPS",20,2,3475.0368
"8483",7282,"MOMBASA","SUPERMAKETS",20,2,35.2925
"8484",7282,"MOMBASA","SUPERMAKETS",20,2,93.3108
"8485",7282,"MOMBASA","SUPERMAKETS",20,2,150.8016
"8486",6072,"MANYANGA","MINI SHOPS",20,2,623.382
"8487",6072,"MANYANGA","MINI SHOPS",20,2,564.8746
"8488",5648,"MTITO ANDEI","SHOPS",20,2,8804.3872
"8489",5556,"MANYANGA","MINI SUPERMAKETS",20,2,101.007
"8490",6040,"NAIROBI","MINI SUPERMAKETS",20,2,2201.0968
"8491",6040,"NAIROBI","MINI SUPERMAKETS",20,2,4399.9935
"8492",2024,"VOI","SUPERMAKETS",20,2,935.073
"8493",2024,"VOI","SUPERMAKETS",20,2,21.0373
"8494",5040,"MANYANGA-MAUA","SUPERMAKETS",20,2,1246.764
